TRIAL,HOST,ISOLATE,BLOCK,INCIDENCE_OF_INFECTED STEMS_u_1,INCIDENCE_OF_INFECTED STEMS_u_2,INCIDENCE_OF_INFECTED STEMS_u_3,INCIDENCE_OF_INFECTED STEMS_u_4
1,POTATO,1,1,1,0,1,1
1,POTATO,2,1,1,0,1,1
1,POTATO,3,1,1,0,1,1
1,POTATO,4,1,0,0,0,0
1,BARLEY,1,1,0,0,1,1
1,BARLEY,2,1,0,0,1,1
1,BARLEY,3,1,0,0,1,1
1,BARLEY,4,1,0,0,0,0
1,MUSTARD,1,1,1,0,1,1
1,MUSTARD,2,1,1,0,1,1
1,MUSTARD,3,1,1,0,1,1
1,MUSTARD,4,1,0,0,0,0
1,POTATO,1,2,1,1,1,1
1,POTATO,2,2,1,1,1,1
1,POTATO,3,2,0,0,1,0
1,POTATO,4,2,0,0,0,0
1,BARLEY,1,2,0,0,1,1
1,BARLEY,2,2,0,0,1,1
1,BARLEY,3,2,0,0,1,1
1,BARLEY,4,2,0,0,0,0
1,MUSTARD,1,2,1,0,0,1
1,MUSTARD,2,2,1,0,1,1
1,MUSTARD,3,2,1,0,1,1
1,MUSTARD,4,2,0,0,0,0
1,POTATO,1,3,1,1,0,1
1,POTATO,2,3,1,0,1,1
1,POTATO,3,3,1,0,1,1
1,POTATO,4,3,0,0,0,0
1,BARLEY,1,3,0,0,1,1
1,BARLEY,2,3,1,0,1,0
1,BARLEY,3,3,0,0,1,1
1,BARLEY,4,3,0,0,0,0
1,MUSTARD,1,3,1,0,0,1
1,MUSTARD,2,3,1,0,1,1
1,MUSTARD,3,3,1,0,1,1
1,MUSTARD,4,3,0,0,0,0
1,POTATO,1,4,1,1,0,1
1,POTATO,2,4,1,0,1,1
1,POTATO,3,4,1,0,1,1
1,POTATO,4,4,0,0,0,0
1,BARLEY,1,4,0,0,1,1
1,BARLEY,2,4,0,0,1,0
1,BARLEY,3,4,0,0,1,1
1,BARLEY,4,4,0,0,0,0
1,MUSTARD,1,4,1,0.5,0,1
1,MUSTARD,2,4,1,0,1,1
1,MUSTARD,3,4,1,0,1,1
1,MUSTARD,4,4,0,0,0,0
1,POTATO,1,5,1,0,0,0
1,POTATO,2,5,1,0,1,1
1,POTATO,3,5,1,0,1,1
1,POTATO,4,5,0,0,0,0
1,BARLEY,1,5,0,0.033,1,1
1,BARLEY,2,5,0,0,1,0
1,BARLEY,3,5,0,0.5,1,1
1,BARLEY,4,5,0,0,0,0
1,MUSTARD,1,5,1,0.5,0,1
1,MUSTARD,2,5,1,0,0,1
1,MUSTARD,3,5,1,0,0,1
1,MUSTARD,4,5,0,0,0,0
1,POTATO,1,6,1,1,0,0
1,POTATO,2,6,1,1,1,0
1,POTATO,3,6,1,0.5,0,1
1,POTATO,4,6,0,0,0,0
1,BARLEY,1,6,1,0,1,1
1,BARLEY,2,6,1,0,1,0
1,BARLEY,3,6,0,0,0,1
1,BARLEY,4,6,0,0,0,0
1,MUSTARD,1,6,1,0,0,1
1,MUSTARD,2,6,1,0,1,1
1,MUSTARD,3,6,1,0,1,1
1,MUSTARD,4,6,0,0,0,0
1,POTATO,1,7,1,0,0,0
1,POTATO,2,7,1,0,0,0
1,POTATO,3,7,1,0,0,0
1,POTATO,4,7,0,0,0,0
1,BARLEY,1,7,0,0,0,1
1,BARLEY,2,7,0,0,1,0
1,BARLEY,3,7,0,0,0,1
1,BARLEY,4,7,0,0,0,0
1,MUSTARD,1,7,1,0,0,0
1,MUSTARD,2,7,1,0,1,0
1,MUSTARD,3,7,1,0,1,1
1,MUSTARD,4,7,0,0,0,0
1,POTATO,1,8,1,0,0,0
1,POTATO,2,8,1,1,0,0
1,POTATO,3,8,1,0.5,0,0
1,POTATO,4,8,0,0,0,0
1,BARLEY,1,8,0,0,0,0
1,BARLEY,2,8,0,0,1,0
1,BARLEY,3,8,0,0,0,0
1,BARLEY,4,8,0,0,0,0
1,MUSTARD,1,8,1,0,0,0
1,MUSTARD,2,8,1,0,1,0
1,MUSTARD,3,8,1,0,0,1
1,MUSTARD,4,8,0,0,0,0
1,POTATO,1,9,1,0.5,0,0
1,POTATO,2,9,1,0,0,0
1,POTATO,3,9,1,0,0,0
1,POTATO,4,9,0,0,0,0
1,BARLEY,1,9,0,0,0,0
1,BARLEY,2,9,0,0.5,0,0
1,BARLEY,3,9,0,0,0,0
1,BARLEY,4,9,0,0,0,0
1,MUSTARD,1,9,1,0.5,0,0
1,MUSTARD,2,9,1,0,0,0
1,MUSTARD,3,9,1,1,0,1
1,MUSTARD,4,9,0,0,0,0
1,POTATO,1,10,1,0,0,0
1,POTATO,2,10,1,0,0,0
1,POTATO,3,10,1,0,0,0
1,POTATO,4,10,0,0,0,0
1,BARLEY,1,10,0,0,0,0
1,BARLEY,2,10,0,0,0,0
1,BARLEY,3,10,0,0.0909,0,0
1,BARLEY,4,10,0,0,0,0
1,MUSTARD,1,10,1,0.5,0,0
1,MUSTARD,2,10,1,0.5,0,0
1,MUSTARD,3,10,1,0,0,1
1,MUSTARD,4,10,0,0,0,0
2,POTATO,1,1,1,1,1,0
2,POTATO,2,1,1,0,1,0
2,POTATO,3,1,1,0,1,0
2,POTATO,4,1,0,0,0,0
2,BARLEY,1,1,0,0,1,1
2,BARLEY,2,1,0,0,1,0
2,BARLEY,3,1,0,0,1,1
2,BARLEY,4,1,0,0,0,0
2,MUSTARD,1,1,1,0,1,1
2,MUSTARD,2,1,1,0,1,1
2,MUSTARD,3,1,1,0,1,1
2,MUSTARD,4,1,0,0,0,0
2,POTATO,1,2,1,0,1,0
2,POTATO,2,2,1,0,1,0
2,POTATO,3,2,1,0,1,0
2,POTATO,4,2,0,0,0,0
2,BARLEY,1,2,0,0,1,0
2,BARLEY,2,2,0,0,1,0
2,BARLEY,3,2,0,0,1,1
2,BARLEY,4,2,0,0,0,0
2,MUSTARD,1,2,1,0,1,0
2,MUSTARD,2,2,1,0,1,1
2,MUSTARD,3,2,1,0,1,0
2,MUSTARD,4,2,0,0,0,0
2,POTATO,1,3,1,0,1,0
2,POTATO,2,3,1,0,1,0
2,POTATO,3,3,1,0,0,0
2,POTATO,4,3,0,0,0,0
2,BARLEY,1,3,0,0,1,0
2,BARLEY,2,3,0,0,1,0
2,BARLEY,3,3,0,0,1,0
2,BARLEY,4,3,0,0,0,0
2,MUSTARD,1,3,1,0,1,0
2,MUSTARD,2,3,1,0,1,1
2,MUSTARD,3,3,1,0,1,0
2,MUSTARD,4,3,0,0,0,0
2,POTATO,1,4,1,1,1,0
2,POTATO,2,4,1,0,0,0
2,POTATO,3,4,1,0,0,0
2,POTATO,4,4,0,0,0,0
2,BARLEY,1,4,0,0.5588,1,0
2,BARLEY,2,4,1,0,1,0
2,BARLEY,3,4,0,0,0,0
2,BARLEY,4,4,0,0,0,0
2,MUSTARD,1,4,1,0,1,0
2,MUSTARD,2,4,1,0,1,1
2,MUSTARD,3,4,1,0,1,0
2,MUSTARD,4,4,0,0,0,0
2,POTATO,1,5,1,0,0,0
2,POTATO,2,5,1,0,0,0
2,POTATO,3,5,1,0,0,0
2,POTATO,4,5,0,0,0,0
2,BARLEY,1,5,0,0.7727,1,0
2,BARLEY,2,5,0,0,1,0
2,BARLEY,3,5,0,0,0,0
2,BARLEY,4,5,0,0,0,0
2,MUSTARD,1,5,1,0,1,0
2,MUSTARD,2,5,1,0,1,1
2,MUSTARD,3,5,1,0,1,0
2,MUSTARD,4,5,0,0,0,0
2,POTATO,1,6,1,0,0,0
2,POTATO,2,6,1,1,0,0
2,POTATO,3,6,1,0,0,0
2,POTATO,4,6,0,0,0,0
2,BARLEY,1,6,0,0.35,1,0
2,BARLEY,2,6,0,0,1,0
2,BARLEY,3,6,1,0,0,0
2,BARLEY,4,6,0,0,0,0
2,MUSTARD,1,6,1,0,0,0
2,MUSTARD,2,6,1,0,1,1
2,MUSTARD,3,6,1,0,1,0
2,MUSTARD,4,6,0,0,0,0
2,POTATO,1,7,1,1,0,0
2,POTATO,2,7,1,1,0,0
2,POTATO,3,7,1,0,0,0
2,POTATO,4,7,0,0,0,0
2,BARLEY,1,7,0,0,1,0
2,BARLEY,2,7,0,0,1,0
2,BARLEY,3,7,0,0,0,0
2,BARLEY,4,7,0,0,0,0
2,MUSTARD,1,7,1,0,0,0
2,MUSTARD,2,7,1,0,1,0
2,MUSTARD,3,7,1,0,1,0
2,MUSTARD,4,7,0,0,0,0
2,POTATO,1,8,1,0,0,0
2,POTATO,2,8,0,0,0,0
2,POTATO,3,8,1,0,0,0
2,POTATO,4,8,0,0,0,0
2,BARLEY,1,8,0,0.05,1,0
2,BARLEY,2,8,0,0,0,0
2,BARLEY,3,8,0,0,0,0
2,BARLEY,4,8,0,0,0,0
2,MUSTARD,1,8,1,0,0,0
2,MUSTARD,2,8,1,0,1,0
2,MUSTARD,3,8,1,0,1,0
2,MUSTARD,4,8,0,0,0,0
2,POTATO,1,9,1,0,0,0
2,POTATO,2,9,0,0.5,0,0
2,POTATO,3,9,1,0,0,0
2,POTATO,4,9,0,0,0,0
2,BARLEY,1,9,0,0.7,1,0
2,BARLEY,2,9,0,0,0,0
2,BARLEY,3,9,0,0.076,0,0
2,BARLEY,4,9,0,0,0,0
2,MUSTARD,1,9,1,0,0,0
2,MUSTARD,2,9,1,0,0,0
2,MUSTARD,3,9,1,0,1,0
2,MUSTARD,4,9,0,0,0,0
2,POTATO,1,10,1,0,0,0
2,POTATO,2,10,1,0,0,0
2,POTATO,3,10,1,0,0,0
2,POTATO,4,10,0,0,0,0
2,BARLEY,1,10,0,0,1,0
2,BARLEY,2,10,0,0,0,0
2,BARLEY,3,10,0,0.025,0,0
2,BARLEY,4,10,0,0,0,0
2,MUSTARD,1,10,1,0,0,0
2,MUSTARD,2,10,1,0,0,0
2,MUSTARD,3,10,1,0,0,0
2,MUSTARD,4,10,0,0,0,0